cam_id,cam_type,cam_description,latitude,longitude,cam_format,fb_posting,nr_enable,nr_version,nr_training,nr_mask,motion_enable,mask,p_motion,disable_capture,right_orientation,left_orientation,motion_threshold,motion_override,train_location_timeout,train_location_speedlimit,train_location_distance,hour_limit,day_limit,img_crop
3733,511,CN St-Laurent MP 129  Aut. 40 at the CN overpass,45.671837,-73.519368,mp4,,,,,,,,,x,,,5,,,,,,,
3743,511,CN Bridge MP 2 (Levis Route 175 at pont de Québec),46.743469,-71.286654,mp4,x,x,5,x,x,x,x,x,,North,South,3,20,342,5,2500,10,120,
3814,511,CN Montreal  Aut. 20 at boul. Angrignon (Turcot Ouest),45.454477,-73.628514,mp4,,,1,x,x,x,x,x,,East,West,5,,,,,,,
3828,511,,,,mp4,,,,x,,,,,,,,,,,,,,,
3830,511,CN Montreal  Route 136 at Echangeur Turcot (East),45.467183,-73.602558,mp4,x,x,12,x,x,x,x,x,,East,West,4,,280,5,3000,10,120,
3896,511,CN Drummondville MP 12.5  Aut 20 Rt Lagueux,46.676432,-71.346295,mp4,,,6,x,x,x,x,x,,West,East,2,6,342,5,1200,1,10,
3899,511,CP Vaudreuil MP 4.5 CN Montreal MP 11 (Dorval),45.44958,-73.7377,mp4,x,x,19,x,x,x,x,x,,West,East,9,35,280,5,3000,10,120,
3952,511,Reseau Charlevoix MP 19  Route 138 at rue Gagnon (Ste-Anne-de-Beaupré),47.012885,-70.951233,mp4,,,,x,,,,,,,,5,,,,,,,
9101,tro,GO Bala Sub MP 2.2 at Dundas St,43.663178,-79.356319,jpg,,,,,,,,,x,,,,,280,0,1200,,,
9113,tro,GO Bala Sub MP 9.3 at CP Rail Bridge,43.734179,-79.331562,jpg,,,,,,,,,x,,,,,280,0,1200,,,
9201,tro,GO Kingston MP 333 at Cherry St / Parliament St,43.648536,-79.360704,jpg,x,x,8,x,x,,,,,,,,,280,0,600,8,55,
9208,tro,GO Oakville MP 2.2 at Dufferin St,43.634768,-79.423451,jpg,,x,4,x,x,,,,,,,,,280,0,1200,3,24,
9209,tro,*Test* GO Oakville MP 3 at Dowling Ave,43.634791,-79.43819,jpg,,,6,x,x,,,,,,,,,280,0,1200,6,24,
9210,tro,GO Oakville MP 3.5 at Parkside Dr,43.638688,-79.449204,jpg,x,x,9,x,x,,,,,,,,,280,0,1200,2,24,
9211,tro,GO Oakville MP 4.5 at Ellis Ave,43.638183,-79.463521,jpg,x,x,2,x,x,,,,,,,,,280,0,1200,6,32,
9212,tro,GO Oakville MP 4.8 at South Kingsway,43.635978,-79.469164,jpg,x,x,6,x,x,,,,,,,,,280,0,1200,3,24,
9213,tro,GO Oakville MP 5.2 at Palace Pier Crt,43.632569,-79.475601,jpg,,,,,,,,,x,,,,,280,0,1200,,,
9214,tro,GO Oakville MP 5.5 at Park Lawn Rd / Rail Corridor Underpass,43.628397,-79.481152,jpg,,,,,,,,,x,,,,,280,0,1200,,,
9319,tro,GO Oakville MP 4.9 at Lake Shore Blvd W & Palace Pier Crt,43.634641,-79.472223,jpg,x,x,3,x,x,,,,,,,,,280,0,1200,5,24,
